pid,existing,hist_name,hist_years,hist_dists,exist_years,exist_dists,evidence
P01181,Hamza,Hamza   M.A,1977|1985|1988|1990,lyallpur|toba tek singh,1993|2002|2008,toba tek singh,sq+dL5
P00376,Syed Ghulam Mustafa Shah,Ghulam Mustafa Shah,1977|1988|1990,badin|lahore|nawabshah|thatta,1993|1997|2002|2008|2013|2018|2024,nawabshah|shaheed benazirabad|thatta,sq+dL17
P02908,Malik Mushtaq Ahmad,Malik Mushtaq Ahmad,1977|1988,sheikhupura,2002|2008|2013,sheikhupura,sq+d di17 GAP14
P02923,Mian Shamim Haider,Mian Shamim Haidar,1977|1985|1988|1990,sheikhupura,2002|2008|2013,sheikhupura,sq+d di12 GAP12
P01184,Ch. Hamid Nasir Chatha,Hamid Nasir Chattha,1977|1985,gujranwala,1993|1997|2002|2008,gujranwala|gujranwalla,sq+dL17
P01194,Ghulam Dastgir Khan,Ghulam Dastgir Khan,1977|1985|1988|1990,gujranwala|gujranwala general,1993|1997,gujranwala,sq+dL17
P02945,Shabbir Ahmad,Shabir   Ahmad,1977|1985|1988|1990,gujranwala|gujrat|nawabshah|quetta chagai|tharparkar,2002|2008|2013|2018|2024,faisalabad|gujrat|kasur|lahore|narowal,sq+d di11 GAP12
P01027,Ghulam Sarwar Khan,Ghulam Sarwar Khan Advocate,1977|1988|1990,rawalpindi|sialkot,1993|2002|2008|2013|2018|2024,rawalpindi,sq+dL16
P00575,Abdul Hameed,Abdul Hameed,1977|1985|1990,bahawalpur bahawalnagar|karachi west|multan,1993,karachi west,sq+dL11
P02993,Sheikh Khizar Hayat,Sheikh Khizar Hayat,1977,multan,2002,multan,sq+d+rare di17 GAP25
P01092,M. Zafarullah Khan,Zafar Ullah Khan,1977|1985|1988,lahore|lahore full|multan,1993|1997,bhakkar|lahore,sq+dL14
P01487,M. Nawaz Khan Alias Dilawar Khan Khichi,Mohammad Nawaz Khan @ Dilawar Khan   Khichi,1977|1985|1988|1990,vehari,1997,vehari,di+d
P00187,Sardar Farooq Ahmad Khan Leghari,Sardar Farooq Ahmad Khan Leghari,1977|1988|1990,dg khan,1993|2002|2008,dg khan|dg khan cum rajanpur|rajanpur|sahiwal,sq+dL28
P00195,Nawabzada Nasrullah Khan,Nawabzada Nasrullah Khan,1977|1988|1990,muzaffargarh,1993|1997,muzaffaragarh|muzaffargarh,sq+dL22
P00151,Ch. M. Ashraf,Chaudhary   Muhammad Ashraf,1977|1988,sahiwal,1993|1997|2002|2008|2013|2018|2024,sahiwal,sq+dL22
P00157,Molvi Bashir Ahmad,Bashir   Ahmad,1977,sahiwal,1993|2018,sahiwal,sq+d di11 GAP16
P00366,Molvi Abdul Karim,Molvi   Abdul Karim,1977|1985|1988|1990,nawabshah|quetta|sukkur|ta,1993,nawabshah,sq+dL10
P00323,Mir Mehran Khan Bijarani,Mir Mehran Khan Bajarani,1977|1985|1988|1990,jacobabad,1993,jacobabad,sq+dL21
P00375,Syed Shabir Ahmad Shah,Syed Shabbir Ahmad Shah,1977|1988|1990,nawabshah,1993|1997,nawabshah,sq+dL19
P01653,Syed Noor Ahmad Shah,Syed Noor Ahmad Shah,1977,nawabshah,1997,nawabshah,sq+d di17 GAP20
