year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1985,NA-189,Karachi VI,Sindh,Ghulam Muhammad Chishti,Independent,30507,46.2,,,20.4,5
1985,NA-190,Karachi,Sindh,Shah Turab-ul-Haq Qadri,Independent,43138,55.8,,,17.4,6
1985,NA-191,Karachi,Sindh,Sheikh Abdul Khaliq Allah Wala,Independent,30956,63.3,,,33.4,8
1985,NA-192,Karachi,Sindh,Haji Muhammad Hanif Tayyab,Independent,21127,40.1,,,7.6,11
1985,NA-193,Karachi,Sindh,Kanwar Qutbuddin Khan,Independent,24248,46.8,,,6.8,7
1985,NA-194,Karachi,Sindh,Muhammad Usman Khan Noori,Independent,17392,35.8,,,10.2,9
1985,NA-195,Karachi,Sindh,Zain Noorani,Independent,25134,56.4,,,17.1,7
1985,NA-196,Karachi,Sindh,Allama Abdul Mustafa Al Azhari,Independent,22828,37.7,,,15.9,8
1985,NA-197,Quetta Chagai,Balochistan,Haji Sardar Fateh Muhammad Muhammad   Hassani,Independent,25933,36.4,,,16.5,16
1985,NA-198,Pishin,Balochistan,Muhammad Qasim Khan,Independent,15311,28.9,,,1.5,16
1985,NA-199,Loralai,Balochistan,Mir Haji Tareen,Independent,20555,46.7,,,1.2,7
1985,NA-200,Zhob,Balochistan,Sardar Wazir Ahmad Jogezai,Independent,23585,71.2,,,43.5,4
1985,NA-201,Kachhi I,Balochistan,Sardar Taj Muhammad Rind,Independent,34876,66.4,,,34.1,4
1985,NA-202,Sibbi Kohlu Dera Bugti,Balochistan,Mir Ahmed Nawaz Bugti,Independent,49869,98.7,,,98.0,3
1985,NA-203,Naseerabad,Balochistan,Mir Zafarullah Khan Jamali,Independent,,,,,,1
1985,NA-204,Kalat Kharan,Balochistan,Prince Mohiuddin Baloch,Independent,31313,86.9,,,73.9,2
1985,NA-205,Khuzdar,Balochistan,Mir Muhammad Arif Jan Muhammad Hassani,Independent,,,,,,1
1985,NA-206,Lasbla Gwadur,Balochistan,Shahzada Jam Muhammad Yousif,Independent,37033,97.1,,,94.1,2
1985,NA-207,Turbat Panjgur,Balochistan,Maulana Abdul Haque Baloch,Independent,16169,49.2,,,21.6,3
